"İl, eğitim seviyesi ve muhtemel eğitim süresine göre cinsiyet eşitliği endeksi, 2018-2022",,,,,,,,,,,,,,,,,,
"Gender parity index by school life expectancy, province and level of education, 2018-2022",,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,"İlkokul - Yükseköğretim 
Primary- Tertiary
ISCED (1-8) ",,,,,,"İlkokul-Ortaöğretim
Primary to Upper  secondary 
ISCED (1-3) ",,,,,,"Okul öncesi 
(Pre- Primary)
ISCED 0",,,,
"İl kodu
Province code","İl adı
Province name",2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018,,2022,2021,2020,2019,2018
40,  Kırşehir,1.00,0.99,0.96,0.94,0.94,,1.00,1.00,0.99,0.98,0.98,,0.97,0.98,1.03,0.96,0.98
41,  Kocaeli,1.03,1.02,1.01,1.00,0.99,,1.00,1.00,1.00,1.00,0.99,,0.98,0.98,0.99,0.98,0.98
42,  Konya,1.01,1.00,0.98,0.96,0.95,,0.99,1.00,0.98,0.98,0.98,,1.00,0.99,0.98,0.99,0.97
43,  Kütahya,1.03,1.01,1.00,0.98,0.96,,1.01,1.01,1.01,1.01,1.00,,0.99,0.97,0.96,1.00,0.97
44,  Malatya,1.00,0.98,0.96,0.96,0.95,,0.99,0.99,0.98,0.99,0.98,,1.00,1.00,0.96,0.99,0.98
45,  Manisa,1.04,1.01,1.01,1.00,0.99,,0.99,0.98,0.98,0.98,0.98,,0.99,0.98,1.00,0.97,0.95
46,  K.Maraş,0.99,0.97,0.95,0.94,0.92,,0.99,0.99,0.98,0.98,0.98,,0.98,0.98,1.00,0.97,0.95
47,  Mardin,0.95,0.92,0.90,0.89,0.88,,0.97,0.97,0.96,0.97,0.95,,1.01,0.98,0.99,0.96,0.96
48,  Muğla,1.05,1.05,1.04,1.01,1.01,,0.99,1.00,0.99,0.98,0.98,,0.99,0.98,0.99,1.00,0.97
49,  Muş,0.92,0.89,0.88,0.87,0.85,,0.96,0.96,0.96,0.96,0.95,,1.00,0.99,0.98,0.97,0.96
50,  Nevşehir,1.02,1.01,1.00,0.98,0.97,,0.99,1.00,0.99,0.98,0.99,,0.98,1.00,0.97,0.97,0.99
51,  Niğde,1.01,1.00,0.99,1.00,0.98,,0.98,0.98,0.97,1.00,1.00,,1.02,1.00,1.00,0.98,1.00
52,  Ordu,1.02,1.01,1.00,0.99,0.98,,1.00,1.00,1.00,1.00,1.00,,1.00,0.97,0.99,0.99,0.98
53,  Rize,1.01,1.04,1.02,1.00,0.99,,0.95,1.00,0.97,0.96,0.97,,0.99,1.00,1.01,0.99,0.98
54,  Sakarya,1.03,1.03,1.02,1.01,1.00,,1.00,1.00,1.00,1.01,1.01,,0.99,0.98,0.98,0.98,0.97
55,  Samsun,1.02,1.01,1.01,0.99,0.99,,0.99,1.00,1.00,1.00,1.00,,0.99,0.98,0.98,0.98,0.98
56,  Siirt,0.88,0.87,0.84,0.83,0.82,,0.92,0.94,0.92,0.92,0.92,,0.99,1.00,1.02,0.99,0.98
57,  Sinop,1.02,1.01,0.99,1.00,0.98,,0.99,1.00,0.98,1.00,1.00,,1.01,0.99,0.95,0.98,0.97
58,  Sivas,1.00,0.99,0.98,0.97,0.95,,0.99,1.00,0.98,0.99,0.99,,0.98,0.99,0.97,0.98,0.97
