"İllere ve cinsiyete göre muhtemel eğitim süresi, ISCED 0 (okul öncesi eğitim), 2018-2022",,,,,,,,,,,,,,,,,,,,
"School life expectancy by sex and provinces, ISCED 0 (pre-primary education), 2018-2022",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,2022,,,,2021,,,,2020,,,,2019,,,,2018,,
İl kodu,İl adı,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın,,Toplam,Erkek,Kadın
Province code,Province name,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female,,Total,Male,Female
39,  Kırklareli,2.1,2.1,2.1,,1.8,1.8,1.8,,0.9,0.9,0.9,,1.7,1.7,1.7,,1.6,1.6,1.6
40,  Kırşehir,2.0,2.0,1.9,,1.5,1.6,1.5,,0.8,0.8,0.8,,1.4,1.4,1.3,,1.3,1.4,1.3
41,  Kocaeli,1.8,1.8,1.8,,1.6,1.6,1.6,,1.3,1.3,1.3,,1.6,1.6,1.5,,1.6,1.6,1.6
42,  Konya,1.6,1.6,1.6,,1.3,1.3,1.3,,0.8,0.8,0.8,,1.1,1.1,1.0,,1.1,1.1,1.0
43,  Kütahya,1.8,1.9,1.8,,1.6,1.6,1.6,,1.0,1.1,1.0,,1.5,1.5,1.5,,1.5,1.5,1.4
44,  Malatya,1.1,1.1,1.1,,1.3,1.3,1.3,,0.8,0.8,0.7,,1.2,1.2,1.1,,1.2,1.2,1.2
45,  Manisa,1.6,1.6,1.6,,1.5,1.5,1.5,,0.9,0.9,0.9,,1.2,1.2,1.2,,1.2,1.2,1.2
46,  K.Maraş,1.2,1.2,1.2,,1.0,1.1,1.0,,0.7,0.7,0.7,,0.9,0.9,0.9,,0.9,1.0,0.9
47,  Mardin,1.2,1.2,1.2,,1.1,1.1,1.1,,0.8,0.8,0.8,,0.9,0.9,0.9,,0.9,0.9,0.9
48,  Muğla,2.1,2.1,2.1,,1.8,1.8,1.8,,1.1,1.1,1.1,,1.4,1.4,1.4,,1.4,1.5,1.4
49,  Muş,1.3,1.3,1.3,,1.1,1.1,1.1,,0.8,0.9,0.8,,0.9,0.9,0.9,,1.0,1.0,0.9
50,  Nevşehir,2.0,2.1,2.0,,1.7,1.7,1.7,,1.2,1.2,1.2,,1.5,1.6,1.5,,1.6,1.6,1.6
51,  Niğde,1.7,1.7,1.7,,1.4,1.3,1.4,,0.9,0.9,0.9,,1.2,1.2,1.2,,1.1,1.1,1.1
52,  Ordu,1.8,1.8,1.8,,1.6,1.6,1.5,,0.9,0.9,0.9,,1.4,1.4,1.4,,1.3,1.3,1.3
53,  Rize,1.9,1.9,1.9,,1.6,1.6,1.6,,1.0,1.0,1.0,,1.4,1.4,1.4,,1.4,1.4,1.4
54,  Sakarya,1.9,1.9,1.9,,1.6,1.6,1.6,,0.8,0.9,0.8,,1.3,1.3,1.3,,1.3,1.3,1.2
55,  Samsun,1.8,1.8,1.8,,1.6,1.6,1.6,,1.1,1.1,1.1,,1.4,1.4,1.4,,1.3,1.4,1.3
56,  Siirt,1.6,1.6,1.6,,1.3,1.3,1.3,,0.5,0.5,0.5,,1.1,1.1,1.1,,1.1,1.1,1.1
57,  Sinop,1.8,1.8,1.8,,1.6,1.6,1.6,,1.1,1.1,1.0,,1.5,1.5,1.4,,1.4,1.4,1.4
58,  Sivas,2.1,2.1,2.0,,1.4,1.4,1.4,,0.9,0.9,0.8,,1.1,1.2,1.1,,1.2,1.2,1.1
59,  Tekirdağ,1.7,1.7,1.7,,1.5,1.6,1.5,,0.9,0.9,0.9,,1.3,1.4,1.3,,1.2,1.2,1.2
60,  Tokat,1.8,1.8,1.8,,1.5,1.6,1.5,,1.1,1.1,1.1,,1.3,1.3,1.3,,1.3,1.3,1.3
61,  Trabzon,1.8,1.8,1.8,,1.6,1.6,1.5,,1.0,1.0,1.0,,1.4,1.4,1.4,,1.4,1.4,1.4
62,  Tunceli,2.1,2.1,2.1,,1.7,1.7,1.7,,1.1,1.1,1.1,,1.6,1.6,1.6,,1.6,1.7,1.6
63,  Şanlıurfa,1.1,1.1,1.1,,0.9,0.9,0.9,,0.7,0.7,0.7,,0.8,0.8,0.8,,0.8,0.8,0.8
64,  Uşak,1.9,1.9,1.9,,1.7,1.7,1.7,,1.0,1.0,1.0,,1.4,1.4,1.4,,1.4,1.4,1.4
65,  Van,1.4,1.4,1.4,,1.2,1.2,1.2,,1.0,1.0,1.0,,1.0,1.0,1.0,,1.1,1.1,1.0
66,  Yozgat,1.6,1.6,1.6,,1.5,1.5,1.5,,0.9,0.9,0.8,,1.1,1.1,1.1,,1.0,1.0,1.0
67,  Zonguldak,1.7,1.6,1.7,,1.5,1.5,1.5,,0.9,0.9,0.8,,1.3,1.3,1.3,,1.2,1.2,1.2
68,  Aksaray,1.5,1.5,1.4,,1.3,1.4,1.3,,1.1,1.1,1.1,,1.1,1.1,1.1,,1.1,1.1,1.1
69,  Bayburt,1.6,1.6,1.6,,1.4,1.4,1.4,,0.8,0.8,0.8,,1.0,1.0,1.1,,1.1,1.1,1.1
