"Faaliyet türüne göre referans ayında ev içi kültürel faaliyetlere katılım oranı, 2006  ",,,,
"Participation rate in home-based cultural activities in the reference month, 2006",,,,
[15 ve daha yukarı yaştaki nüfus-15 years old & over],,,,
                                           (%),,,,
,,,Faaliyete ,Faaliyete 
Faaliyet türü,,Toplam,Katılan ,Katılmayan 
Type of activity,,Total,Partipaceted,Not participated
Toplam-Total,,,,
,Radyo dinlemek - Listening to the radio,100,66.7,33.3
,Televizyon seyretmek - Watching television ,100,94.3,5.7
,"Kitap, dergi, gazete vb. okumak - Reading books, newspapers etc.",100,63.7,36.3
Erkek-Male,,,,
,Radyo dinlemek - Listening to the radio,100,69.1,30.9
,Televizyon seyretmek - Watching television ,100,95.1,4.9
,"Kitap, dergi, gazete vb. okumak - Reading books, newspapers etc.",100,66.9,33.1
Kadın-Female,,,,
,Radyo dinlemek - Listening to the radio,100,64.4,35.6
,Televizyon seyretmek - Watching television ,100,93.5,6.5
,"Kitap, dergi, gazete vb. okumak - Reading books, newspapers etc.",100,59.9,40.1
"Kaynak: Zaman Kullanımı Araştırması,2006",,"Source: Time Use Survey, 2006",,
2006 yılından itibaren bu tablo güncellenmeyecektir. ,,,     This table is not updated since 2006,
